source prefix	source identifier	source name	relation	target prefix	target identifier	target name	type	source	prediction_type	prediction_source	prediction_confidence
ccle	GRM_SKIN	GR-M	skos:exactMatch	cellosaurus	WL69	GR [Mouse mammary tumor]	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			
ccle	H4_CENTRAL_NERVOUS_SYSTEM	H4	skos:exactMatch	cellosaurus	6C19	H-4	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370			
ccle	H4_CENTRAL_NERVOUS_SYSTEM	H4	skos:exactMatch	cellosaurus	HA56	Hutt60	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			
ccle	H4_CENTRAL_NERVOUS_SYSTEM	H4	skos:exactMatch	cellosaurus	JF98	cyfH-4	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			
ccle	HCC2279_LUNG	HCC-2279	skos:exactMatch	efo	0005374	HCC227	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			
ccle	HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HEL	skos:exactMatch	cellosaurus	6D72	HEL-30	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370			
ccle	HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HEL	skos:exactMatch	efo	0006579	HEL	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370			
ccle	HN_UPPER_AERODIGESTIVE_TRACT	HN	skos:exactMatch	efo	1000958	halo nevus	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370			
ccle	HTK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HTK-	skos:exactMatch	cellosaurus	9W65	HTk	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370			
ccle	HTK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HTK-	skos:exactMatch	cellosaurus	YM13	HTK	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370			
ccle	HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HT	skos:exactMatch	efo	0003779	Hashimoto's thyroiditis	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			
ccle	HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HT	skos:exactMatch	efo	0004348	hematocrit	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			
ccle	JK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	JK-1	skos:exactMatch	cellosaurus	JZ08	JK1	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370			
ccle	JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	JM1	skos:exactMatch	cellosaurus	F242	JM1	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370			
ccle	JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	JM1	skos:exactMatch	cellosaurus	T448	MDCC-JM-1	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370			
ccle	KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KG-1	skos:exactMatch	cellosaurus	1S07	GM10888	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370			
ccle	KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KG-1	skos:exactMatch	cellosaurus	2971	KG-1-C	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370			
ccle	KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KG-1	skos:exactMatch	cellosaurus	UD72	KG1	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370			
ccle	KMH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KM-H2	skos:exactMatch	cellosaurus	S641	KMH-2	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370			
ccle	KS1_CENTRAL_NERVOUS_SYSTEM	KS-1	skos:exactMatch	cellosaurus	D284	KS-1 [Human Krukenberg tumour]	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370			
ccle	LK2_LUNG	LK-2	skos:exactMatch	cellosaurus	W132	LK2	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370			
ccle	LP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	LP-1	skos:exactMatch	cellosaurus	SA54	LPS1	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370			
ccle	MCAS_OVARY	MCAS	skos:exactMatch	efo	0009001	Mastocytosis	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			
ccle	ME1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ME-1	skos:exactMatch	cellosaurus	L911	ME1	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370			
ccle	MEC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MEC-1	skos:exactMatch	cellosaurus	F939	GM-20	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			
ccle	MEC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MEC-1	skos:exactMatch	cellosaurus	VR92	MEC1	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			
ccle	MEC2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MEC-2	skos:exactMatch	cellosaurus	F940	GM-70	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			
ccle	MINO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Mino	skos:exactMatch	cellosaurus	UW35	MINO	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370			
ccle	ML1_THYROID	ML-1	skos:exactMatch	cellosaurus	0436	ML-1 [Human leukemia]	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			
ccle	NB1_AUTONOMIC_GANGLIA	NB-1	skos:exactMatch	cellosaurus	8812	SJNB-1	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370			
ccle	NB1_AUTONOMIC_GANGLIA	NB-1	skos:exactMatch	cellosaurus	GZ01	NB-1	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370			
ccle	NB1_AUTONOMIC_GANGLIA	NB-1	skos:exactMatch	cellosaurus	ZT00	NB1 [Human skin fibroblast]	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			
ccle	NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NB-4	skos:exactMatch	cellosaurus	8821	SJNB-4	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370			
ccle	OV7_OVARY	OV7	skos:exactMatch	cellosaurus	DG86	ACC-OV7	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370			
ccle	PC3_PROSTATE	PC-3	skos:exactMatch	cellosaurus	4011	MIA PaCa-3	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370			
ccle	PC3_PROSTATE	PC-3	skos:exactMatch	cellosaurus	4055	SK-PC-3	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370			
ccle	PC3_PROSTATE	PC-3	skos:exactMatch	cellosaurus	S982	PC-3 [Human lung carcinoma]	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			
ccle	PK1_PANCREAS	PK-1	skos:exactMatch	cellosaurus	WI10	N2a-PK1	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370			
ccle	PL21_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	PL-21	skos:exactMatch	cellosaurus	E295	TS 0129	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			
ccle	PL21_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	PL-21	skos:exactMatch	cellosaurus	JM48	PL21	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370			
ccle	RCM1_LARGE_INTESTINE	RCM-1	skos:exactMatch	cellosaurus	C099	RCM-1 [Human ESC]	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370			
ccle	SCC25_UPPER_AERODIGESTIVE_TRACT	SCC-25	skos:exactMatch	cellosaurus	7735	UM-SCC-25	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370			
ccle	SCC4_UPPER_AERODIGESTIVE_TRACT	SCC-4	skos:exactMatch	cellosaurus	7751	UM-SCC-4	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370			
ccle	SCC9_UPPER_AERODIGESTIVE_TRACT	SCC-9	skos:exactMatch	cellosaurus	7793	UM-SCC-9	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370			
ccle	SH4_SKIN	SH-4	skos:exactMatch	cellosaurus	7702	SH4	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370			
ccle	SH4_SKIN	SH-4	skos:exactMatch	cellosaurus	C724	SSMUe004-A	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370			
ccle	TC71_BONE	TC-71	skos:exactMatch	cellosaurus	S882	TC71	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370			
ccle	TE15_OESOPHAGUS	TE-15	skos:exactMatch	cellosaurus	F780	TE15	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370			
ccle	WM239A	WM239A	skos:exactMatch	cellosaurus	RN56	WM239B	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370			
chebi	10057	9H-xanthene	skos:exactMatch	mesh	C002563	xanthan gum	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370			
chebi	134126	picrotoxin	skos:exactMatch	mesh	D031605	Cocculus	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	semapv:LexicalMatching	generate_chebi_mesh_mappings.py	0.95
chebi	135025	rimazolium	skos:exactMatch	mesh	C100296	probon	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			
chebi	135083	cibenzoline	skos:exactMatch	mesh	C032151	cifenline	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			
chebi	15367	all-trans-retinoic acid	skos:exactMatch	mesh	D012160	Retina	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	semapv:LexicalMatching	generate_chebi_mesh_mappings.py	0.95
chebi	15756	hexadecanoic acid	skos:exactMatch	mesh	D010169	Palmitic Acids	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	semapv:LexicalMatching	https://github.com/indralab/panacea_indra/blob/master/panacea_indra/make_ctd_tests.py	0.9
chebi	15940	nicotinic acid	skos:exactMatch	mesh	D009539	Nicotinic Acids	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370			
chebi	16543	N(2)-acetyl-L-ornithine	skos:exactMatch	mesh	C021951	N(delta)-acetylornithine	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370			
chebi	17221	beta-myrcene	skos:exactMatch	mesh	C509595	myrcene	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346	semapv:LexicalMatching	generate_chebi_mesh_mappings.py	0.95
chebi	17544	hydrogencarbonate	skos:exactMatch	mesh	D001639	Bicarbonates	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370			
chebi	17883	hydrogen chloride	skos:exactMatch	mesh	D007943	Leukemia, Hairy Cell	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	semapv:LexicalMatching	generate_chebi_mesh_mappings.py	0.95
chebi	22927	bromine atom	skos:exactMatch	mesh	D031724	Bromus	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	semapv:LexicalMatching	generate_chebi_mesh_mappings.py	0.95
chebi	23888	drug	skos:exactMatch	mesh	D008511	Medicine	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	semapv:LexicalMatching	generate_chebi_mesh_mappings.py	0.95
chebi	24536	hexachlorocyclohexane	skos:exactMatch	mesh	D002819	Chorea	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	semapv:LexicalMatching	generate_chebi_mesh_mappings.py	0.95
chebi	27777	acetohydroxamic acid	skos:exactMatch	mesh	D000744	Anemia, Hemolytic, Autoimmune	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	semapv:LexicalMatching	generate_chebi_mesh_mappings.py	0.95
chebi	28201	rotenone	skos:exactMatch	mesh	D029866	Derris	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	semapv:LexicalMatching	generate_chebi_mesh_mappings.py	0.95
chebi	29806	fumarate(2-)	skos:exactMatch	mesh	D005650	Fumarates	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370			
chebi	30078	gold monochloride	skos:exactMatch	mesh	C038016	gold chloride	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370			
chebi	31013	cerotate	skos:exactMatch	mesh	C085095	Cerinate	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	semapv:LexicalMatching	generate_chebi_mesh_mappings.py	0.95
chebi	31739	josamycin	skos:exactMatch	mesh	D019169	Jurkat Cells	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	semapv:LexicalMatching	generate_chebi_mesh_mappings.py	0.95
chebi	32034	potassium bitartrate	skos:exactMatch	mesh	D003728	Dental Calculus	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	semapv:LexicalMatching	generate_chebi_mesh_mappings.py	0.95
chebi	33224	chromane	skos:exactMatch	mesh	D002839	Chromans	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370			
chebi	33363	palladium	skos:exactMatch	mesh	D010300	Parkinson Disease	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			
chebi	33942	ribose	skos:exactMatch	mesh	D012272	Ribs	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	semapv:LexicalMatching	generate_chebi_mesh_mappings.py	0.95
chebi	39098	pyrethrins	skos:exactMatch	mesh	D011723	Chrysanthemum cinerariifolium	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	semapv:LexicalMatching	generate_chebi_mesh_mappings.py	0.95
chebi	4031	cyclosporin A	skos:exactMatch	mesh	D003524	Cyclosporins	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370			
chebi	44520	methoxy group	skos:exactMatch	mesh	D010034	Otitis Media with Effusion	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	semapv:LexicalMatching	generate_chebi_mesh_mappings.py	0.95
chebi	45373	sulfanilamide	skos:exactMatch	mesh	D013424	Sulfanilamides	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			
chebi	50183	P450 inhibitor	skos:exactMatch	mesh	D065690	Cytochrome P-450 CYP2D6 Inhibitors	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370			
chebi	50664	matrix metalloproteinase inhibitor	skos:exactMatch	mesh	D008950	MMPI	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370			
chebi	50906	role	skos:exactMatch	mesh	D012380	Role	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	semapv:LexicalMatching	generate_chebi_mesh_mappings.py	0.95
chebi	53311	sodium alginate	skos:exactMatch	mesh	D044646	Ascophyllum	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	semapv:LexicalMatching	generate_chebi_mesh_mappings.py	0.95
chebi	59113	3-heptadecylveratrole	skos:exactMatch	mesh	D003699	Hepatitis D	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	semapv:LexicalMatching	generate_chebi_mesh_mappings.py	0.95
chebi	60411	bacteriopheophytin	skos:exactMatch	mesh	D011470	Prostatic Hyperplasia	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	semapv:LexicalMatching	generate_chebi_mesh_mappings.py	0.95
chebi	6446	levothyroxine sodium anhydrous	skos:exactMatch	mesh	D016422	Letter	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	semapv:LexicalMatching	generate_chebi_mesh_mappings.py	0.95
chebi	6456	lidocaine	skos:exactMatch	mesh	C511998	Lidoderm	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			
chebi	70255	(-)-epicatechin-3-O-gallate	skos:exactMatch	mesh	D004562	Electrocardiography	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	semapv:LexicalMatching	generate_chebi_mesh_mappings.py	0.95
chebi	75937	monooleoylglycerol	skos:exactMatch	mesh	C005953	monoolein	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370			
chebi	78037	polyhydroxyalkanoate	skos:exactMatch	mesh	D010381	Pelger-Huet Anomaly	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	semapv:LexicalMatching	generate_chebi_mesh_mappings.py	0.95
chebi	79068	crocin-1	skos:exactMatch	mesh	D027622	Crocus	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	semapv:LexicalMatching	generate_chebi_mesh_mappings.py	0.95
chebi	8075	phenoxyacetic acid	skos:exactMatch	mesh	D031785	Poa	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	semapv:LexicalMatching	generate_chebi_mesh_mappings.py	0.95
chebi	8925	ryanodine	skos:exactMatch	mesh	D031309	Ryania	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	semapv:LexicalMatching	generate_chebi_mesh_mappings.py	0.95
chmo	0000026	fast-scan cyclic voltammetry	skos:exactMatch	ncbitaxon	11978	Feline calicivirus	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	semapv:LexicalMatching	kestrel-mappings	0.556
chmo	0000028	linear-sweep voltammetry	skos:exactMatch	ncbitaxon	12173	Lily symptomless virus	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	semapv:LexicalMatching	kestrel-mappings	0.556
chmo	0000041	stripping voltammetry	skos:exactMatch	ncbitaxon	2846078	Alphachrysovirus saladoense	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	semapv:LexicalMatching	kestrel-mappings	0.556
chmo	0000047	cathodic stripping voltammetry	skos:exactMatch	ncbitaxon	192452	Cocksfoot streak virus	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	semapv:LexicalMatching	kestrel-mappings	0.556
chmo	0000049	chemical imaging	skos:exactMatch	ncbitaxon	245896	Cis	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	semapv:LexicalMatching	kestrel-mappings	0.762
chmo	0000377	inverse photoelectron spectroscopy	skos:exactMatch	ncbitaxon	55979	Ips	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	semapv:LexicalMatching	kestrel-mappings	0.762
chmo	0000412	angle-resolved secondary electron spectroscopy	skos:exactMatch	ncbitaxon	338443	Arses	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	semapv:LexicalMatching	kestrel-mappings	0.762
chmo	0000422	alternating current impedance spectroscopy	skos:exactMatch	ncbitaxon	197677	Acis	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	semapv:LexicalMatching	kestrel-mappings	0.762
chmo	0000515	laser desorption-ionisation mass spectrometry	skos:exactMatch	ncbitaxon	102304	Lima	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	semapv:LexicalMatching	kestrel-mappings	0.762
chmo	0000641	surface enhanced infrared absorption spectroscopy	skos:exactMatch	ncbitaxon	186261	Seira	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	semapv:LexicalMatching	kestrel-mappings	0.762
chmo	0000744	electron–electron double resonance spectroscopy	skos:exactMatch	ncbitaxon	9850	Cervidae	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	semapv:LexicalMatching	kestrel-mappings	0.54
chmo	0000928	particle-tracking velocimetry	skos:exactMatch	ncbitaxon	187978	Peru tomato mosaic virus	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	semapv:LexicalMatching	kestrel-mappings	0.556
chmo	0001184	gas-phase electrophoretic mobility molecular analysis	skos:exactMatch	ncbitaxon	345460	Gemma	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	semapv:LexicalMatching	kestrel-mappings	0.762
chmo	0001337	atomic layer epitaxy	skos:exactMatch	ncbitaxon	513146	Plantago princeps	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	semapv:LexicalMatching	kestrel-mappings	0.484
chmo	0001522	dialysis	skos:exactMatch	ncbitaxon	124307	Dialysis	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	semapv:LexicalMatching	kestrel-mappings	0.762
chmo	0001849	phase alternated rotation of magnetisation	skos:exactMatch	ncbitaxon	44741	Rickettsia sp. PAR	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	semapv:LexicalMatching	kestrel-mappings	0.556
