#curie_map:
#  agro: http://purl.obolibrary.org/obo/AGRO_
#  agrovoc: http://aims.fao.org/aos/agrovoc/c_
#  apollosv: http://purl.obolibrary.org/obo/APOLLO_SV_
#  bto: http://purl.obolibrary.org/obo/BTO_
#  ccle: https://www.cbioportal.org/patient?studyId=ccle_broad_2019&caseId=
#  cellosaurus: https://www.cellosaurus.org/CVCL_
#  chebi: http://purl.obolibrary.org/obo/CHEBI_
#  chmo: http://purl.obolibrary.org/obo/CHMO_
#  cl: http://purl.obolibrary.org/obo/CL_
#  clo: http://purl.obolibrary.org/obo/CLO_
#  cpt: https://www.aapc.com/codes/cpt-codes/
#  cvx: https://biopragmatics.github.io/providers/cvx/
#  debio: https://biopragmatics.github.io/debio/
#  depmap: https://depmap.org/portal/cell_line/
#  doid: http://purl.obolibrary.org/obo/DOID_
#  drugbank: https://go.drugbank.com/drugs/
#  efo: http://www.ebi.ac.uk/efo/EFO_
#  envo: http://purl.obolibrary.org/obo/ENVO_
#  fplx: https://sorgerlab.github.io/famplex/
#  go: http://purl.obolibrary.org/obo/GO_
#  hgnc: https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/
#  hp: http://purl.obolibrary.org/obo/HP_
#  iconclass: https://iconclass.org/
#  ido: http://purl.obolibrary.org/obo/IDO_
#  idomal: http://purl.obolibrary.org/obo/IDOMAL_
#  interpro: https://www.ebi.ac.uk/interpro/entry/InterPro/
#  ito: https://bioportal.bioontology.org/ontologies/ITO/?p=classes&conceptid=https://identifiers.org/ito:ITO_
#  kegg.pathway: https://www.kegg.jp/pathway/
#  maxo: http://purl.obolibrary.org/obo/MAXO_
#  mesh: https://meshb.nlm.nih.gov/record/ui?ui=
#  mi: http://purl.obolibrary.org/obo/MI_
#  miapa: http://purl.obolibrary.org/obo/MIAPA_
#  mondo: http://purl.obolibrary.org/obo/MONDO_
#  nbo: http://purl.obolibrary.org/obo/NBO_
#  ncbitaxon: http://purl.obolibrary.org/obo/NCBITaxon_
#  ncit: http://purl.obolibrary.org/obo/NCIT_
#  oae: http://purl.obolibrary.org/obo/OAE_
#  obi: http://purl.obolibrary.org/obo/OBI_
#  orcid: https://orcid.org/
#  pato: http://purl.obolibrary.org/obo/PATO_
#  pfam: https://www.ebi.ac.uk/interpro/entry/pfam/
#  pr: http://purl.obolibrary.org/obo/PR_
#  reactome: https://reactome.org/content/detail/
#  semapv: https://w3id.org/semapv/vocab/
#  skos: http://www.w3.org/2004/02/skos/core#
#  uberon: http://purl.obolibrary.org/obo/UBERON_
#  umls: https://uts.nlm.nih.gov/uts/umls/concept/
#  uniprot.chain: http://purl.uniprot.org/annotation/
#  vo: http://purl.obolibrary.org/obo/VO_
#  wikipathways: http://www.wikipathways.org/instance/
#mapping_set_id: https://w3id.org/biopragmatics/sssom/negative.sssom.tsv
subject_id	subject_label	predicate_id	predicate_modifier	object_id	object_label	mapping_justification	author_id	mapping_tool
apollosv:00000094	community	skos:exactMatch	Not	ncit:C16453	Community	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	
apollosv:00000172	susceptibility	skos:exactMatch	Not	pato:0001043	susceptibility toward	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	mira
apollosv:00000340	agonism	skos:exactMatch	Not	nbo:0000015	aggressive behavior	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	
apollosv:00000340	agonism	skos:exactMatch	Not	nbo:0000121	agonistic behavior	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	
apollosv:00000496	ORCID	skos:exactMatch	Not	ncit:C188272	ORCID	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	mira
bto:0002830	DB-1 cell	skos:exactMatch	Not	cl:4033027	diffuse bipolar 1 cell	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	https://github.com/biomappings/biomappings/blob/cc126c/scripts/generate_bto_cl_mappings.py
bto:0004500	R1 cell	skos:exactMatch	Not	cl:0000687	R1 photoreceptor cell	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	https://github.com/biomappings/biomappings/blob/cc126c/scripts/generate_bto_cl_mappings.py
bto:0005825	ctenidium	skos:exactMatch	Not	ncbitaxon:90308	Ctenidium	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	kestrel-mappings
bto:0006359	TEX cell	skos:exactMatch	Not	cl:0011025	exhausted T cell	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	https://github.com/biomappings/biomappings/blob/cc126c/scripts/generate_bto_cl_mappings.py
ccle:697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	697	skos:exactMatch	Not	cellosaurus:8056	697-mel	semapv:ManualMappingCuration	orcid:0000-0003-1307-2508	
ccle:A204_SOFT_TISSUE	A-204	skos:exactMatch	Not	cellosaurus:1N55	Urd-B	semapv:ManualMappingCuration	orcid:0000-0003-1307-2508	
ccle:ABC1_LUNG	ABC-1	skos:exactMatch	Not	cellosaurus:ZB62	AbC1	semapv:ManualMappingCuration	orcid:0000-0003-1307-2508	
ccle:BC2	BC2	skos:exactMatch	Not	cellosaurus:1856	BC-2	semapv:ManualMappingCuration	orcid:0000-0003-1307-2508	
ccle:BC2	BC2	skos:exactMatch	Not	cellosaurus:IW93	HBG BC2	semapv:ManualMappingCuration	orcid:0000-0003-1307-2508	
ccle:BC2	BC2	skos:exactMatch	Not	efo:0002045	BC-2	semapv:ManualMappingCuration	orcid:0000-0003-1307-2508	
ccle:BGC823_STOMACH	BGC-823	skos:exactMatch	Not	cellosaurus:3360	BGC-823	semapv:ManualMappingCuration	orcid:0000-0003-1307-2508	
ccle:BOKU	BOKU	skos:exactMatch	Not	cellosaurus:1089	BOKU	semapv:ManualMappingCuration	orcid:0000-0003-1307-2508	
ccle:BOKU	BOKU	skos:exactMatch	Not	depmap:ACH-001451	BOKU	semapv:ManualMappingCuration	orcid:0000-0003-1307-2508	
ccle:C32_SKIN	C32	skos:exactMatch	Not	cellosaurus:ZA06	WT2-iPS	semapv:ManualMappingCuration	orcid:0000-0003-1307-2508	
ccle:CL11_LARGE_INTESTINE	CL-11	skos:exactMatch	Not	cellosaurus:D517	CL1-1	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346	
ccle:CL14_LARGE_INTESTINE	CL-14	skos:exactMatch	Not	cellosaurus:D520	CL1-4	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346	
ccle:CL14_LARGE_INTESTINE	CL-14	skos:exactMatch	Not	cellosaurus:ZP40	XPCS2BASV Cl-14	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346	
ccle:COLO783_SKIN	COLO-783	skos:exactMatch	Not	efo:0006375	COLO 741	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346	
ccle:COLO818_SKIN	COLO-818	skos:exactMatch	Not	efo:0006378	COLO 800	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346	
ccle:DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	DEL	skos:exactMatch	Not	efo:0004014	deletion	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346	
ccle:DM3_FIBROBLAST	DM-3	skos:exactMatch	Not	cellosaurus:Z233	Schneider 3	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346	
ccle:EBC1_LUNG	EBC-1	skos:exactMatch	Not	cellosaurus:E218	NB-EbC1	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	
ccle:ES2_OVARY	ES-2	skos:exactMatch	Not	cellosaurus:AX39	ES2	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	
ccle:ES2_OVARY	ES-2	skos:exactMatch	Not	cellosaurus:C769	ESe009-A	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	
ccle:F5_CENTRAL_NERVOUS_SYSTEM	F5	skos:exactMatch	Not	cellosaurus:L876	TS/A clone F5	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346	
ccle:GRM_SKIN	GR-M	skos:exactMatch	Not	cellosaurus:WL69	GR [Mouse mammary tumor]	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346	
ccle:H4_CENTRAL_NERVOUS_SYSTEM	H4	skos:exactMatch	Not	cellosaurus:6C19	H-4	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	
ccle:H4_CENTRAL_NERVOUS_SYSTEM	H4	skos:exactMatch	Not	cellosaurus:HA56	Hutt60	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346	
ccle:H4_CENTRAL_NERVOUS_SYSTEM	H4	skos:exactMatch	Not	cellosaurus:JF98	cyfH-4	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346	
ccle:HCC2279_LUNG	HCC-2279	skos:exactMatch	Not	efo:0005374	HCC227	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346	
ccle:HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HEL	skos:exactMatch	Not	cellosaurus:6D72	HEL-30	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	
ccle:HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HEL	skos:exactMatch	Not	efo:0006579	HEL	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	
ccle:HN_UPPER_AERODIGESTIVE_TRACT	HN	skos:exactMatch	Not	efo:1000958	halo nevus	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	
ccle:HTK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HTK-	skos:exactMatch	Not	cellosaurus:9W65	HTk	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	
ccle:HTK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HTK-	skos:exactMatch	Not	cellosaurus:YM13	HTK	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	
ccle:HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HT	skos:exactMatch	Not	efo:0003779	Hashimoto's thyroiditis	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346	
ccle:HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HT	skos:exactMatch	Not	efo:0004348	hematocrit	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346	
ccle:JK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	JK-1	skos:exactMatch	Not	cellosaurus:JZ08	JK1	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	
ccle:JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	JM1	skos:exactMatch	Not	cellosaurus:F242	JM1	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	
ccle:JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	JM1	skos:exactMatch	Not	cellosaurus:T448	MDCC-JM-1	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	
ccle:KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KG-1	skos:exactMatch	Not	cellosaurus:1S07	GM10888	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	
ccle:KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KG-1	skos:exactMatch	Not	cellosaurus:2971	KG-1-C	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	
ccle:KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KG-1	skos:exactMatch	Not	cellosaurus:UD72	KG1	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	
ccle:KMH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KM-H2	skos:exactMatch	Not	cellosaurus:S641	KMH-2	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	
ccle:KS1_CENTRAL_NERVOUS_SYSTEM	KS-1	skos:exactMatch	Not	cellosaurus:D284	KS-1 [Human Krukenberg tumour]	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	
ccle:LK2_LUNG	LK-2	skos:exactMatch	Not	cellosaurus:W132	LK2	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	
ccle:LP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	LP-1	skos:exactMatch	Not	cellosaurus:SA54	LPS1	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	
ccle:MCAS_OVARY	MCAS	skos:exactMatch	Not	efo:0009001	Mastocytosis	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346	
ccle:ME1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ME-1	skos:exactMatch	Not	cellosaurus:L911	ME1	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	
ccle:MEC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MEC-1	skos:exactMatch	Not	cellosaurus:F939	GM-20	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346	
ccle:MEC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MEC-1	skos:exactMatch	Not	cellosaurus:VR92	MEC1	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346	
ccle:MEC2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MEC-2	skos:exactMatch	Not	cellosaurus:F940	GM-70	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346	
ccle:MINO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Mino	skos:exactMatch	Not	cellosaurus:UW35	MINO	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	
ccle:ML1_THYROID	ML-1	skos:exactMatch	Not	cellosaurus:0436	ML-1 [Human leukemia]	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346	
ccle:NB1_AUTONOMIC_GANGLIA	NB-1	skos:exactMatch	Not	cellosaurus:8812	SJNB-1	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	
ccle:NB1_AUTONOMIC_GANGLIA	NB-1	skos:exactMatch	Not	cellosaurus:GZ01	NB-1	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	
ccle:NB1_AUTONOMIC_GANGLIA	NB-1	skos:exactMatch	Not	cellosaurus:ZT00	NB1 [Human skin fibroblast]	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346	
ccle:NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NB-4	skos:exactMatch	Not	cellosaurus:8821	SJNB-4	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	
ccle:OV7_OVARY	OV7	skos:exactMatch	Not	cellosaurus:DG86	ACC-OV7	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	
ccle:PC3_PROSTATE	PC-3	skos:exactMatch	Not	cellosaurus:4011	MIA PaCa-3	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	
ccle:PC3_PROSTATE	PC-3	skos:exactMatch	Not	cellosaurus:4055	SK-PC-3	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	
ccle:PC3_PROSTATE	PC-3	skos:exactMatch	Not	cellosaurus:S982	PC-3 [Human lung carcinoma]	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346	
ccle:PK1_PANCREAS	PK-1	skos:exactMatch	Not	cellosaurus:WI10	N2a-PK1	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	
ccle:PL21_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	PL-21	skos:exactMatch	Not	cellosaurus:E295	TS 0129	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346	
ccle:PL21_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	PL-21	skos:exactMatch	Not	cellosaurus:JM48	PL21	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	
ccle:RCM1_LARGE_INTESTINE	RCM-1	skos:exactMatch	Not	cellosaurus:C099	RCM-1 [Human ESC]	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	
ccle:SCC25_UPPER_AERODIGESTIVE_TRACT	SCC-25	skos:exactMatch	Not	cellosaurus:7735	UM-SCC-25	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	
ccle:SCC4_UPPER_AERODIGESTIVE_TRACT	SCC-4	skos:exactMatch	Not	cellosaurus:7751	UM-SCC-4	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	
ccle:SCC9_UPPER_AERODIGESTIVE_TRACT	SCC-9	skos:exactMatch	Not	cellosaurus:7793	UM-SCC-9	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	
ccle:SH4_SKIN	SH-4	skos:exactMatch	Not	cellosaurus:7702	SH4	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	
ccle:SH4_SKIN	SH-4	skos:exactMatch	Not	cellosaurus:C724	SSMUe004-A	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	
ccle:TC71_BONE	TC-71	skos:exactMatch	Not	cellosaurus:S882	TC71	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	
ccle:TE15_OESOPHAGUS	TE-15	skos:exactMatch	Not	cellosaurus:F780	TE15	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	
ccle:WM239A	WM239A	skos:exactMatch	Not	cellosaurus:RN56	WM239B	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	
chebi:10057	9H-xanthene	skos:exactMatch	Not	mesh:C002563	xanthan gum	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	
chebi:134126	picrotoxin	skos:exactMatch	Not	mesh:D031605	Cocculus	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	generate_chebi_mesh_mappings.py
chebi:135025	rimazolium	skos:exactMatch	Not	mesh:C100296	probon	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346	
chebi:135083	cibenzoline	skos:exactMatch	Not	mesh:C032151	cifenline	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346	
chebi:136542	(+)-sesamin monocatechol	skos:exactMatch	Not	efo:0006481	SC-1	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_efo_chebi_mappings.py
chebi:141420	ganglioside GM2 (natural compound)	skos:exactMatch	Not	efo:0005747	GM2	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_efo_chebi_mappings.py
chebi:142025	gibberellin A10	skos:exactMatch	Not	efo:0002181	GA10	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_efo_chebi_mappings.py
chebi:143126	(2E)-2-benzylidene-3-(cyclohexylamino)indan-1-one	skos:exactMatch	Not	efo:0002044	BC-1	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_efo_chebi_mappings.py
chebi:145865	bencarbazone	skos:exactMatch	Not	efo:0008809	MIDAS	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_efo_chebi_mappings.py
chebi:15367	all-trans-retinoic acid	skos:exactMatch	Not	mesh:D012160	Retina	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	generate_chebi_mesh_mappings.py
chebi:15756	hexadecanoic acid	skos:exactMatch	Not	mesh:D010169	Palmitic Acids	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	https://github.com/indralab/panacea_indra/blob/master/panacea_indra/make_ctd_tests.py
chebi:15940	nicotinic acid	skos:exactMatch	Not	mesh:D009539	Nicotinic Acids	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	
chebi:16543	N(2)-acetyl-L-ornithine	skos:exactMatch	Not	mesh:C021951	N(delta)-acetylornithine	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	
chebi:16610	spermidine	skos:exactMatch	Not	efo:0007027	SD	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_efo_chebi_mappings.py
chebi:17050	3-phosphoglyceric acid	skos:exactMatch	Not	efo:0010450	3-phosphoglyceric acid	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_efo_chebi_mappings.py
chebi:17221	beta-myrcene	skos:exactMatch	Not	mesh:C509595	myrcene	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346	generate_chebi_mesh_mappings.py
chebi:17544	hydrogencarbonate	skos:exactMatch	Not	mesh:D001639	Bicarbonates	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	
chebi:17883	hydrogen chloride	skos:exactMatch	Not	mesh:D007943	Leukemia, Hairy Cell	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	generate_chebi_mesh_mappings.py
chebi:17997	dinitrogen	skos:exactMatch	Not	efo:0004028	N2	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_efo_chebi_mappings.py
chebi:18132	phosphocholine	skos:exactMatch	Not	efo:0022828	CHOP	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_efo_chebi_mappings.py
chebi:204039	UK-1	skos:exactMatch	Not	efo:0005161	Uk-1	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_efo_chebi_mappings.py
chebi:222262	CV-1	skos:exactMatch	Not	efo:0022733	CV-1	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_efo_chebi_mappings.py
chebi:22927	bromine atom	skos:exactMatch	Not	mesh:D031724	Bromus	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	generate_chebi_mesh_mappings.py
chebi:23888	drug	skos:exactMatch	Not	mesh:D008511	Medicine	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	generate_chebi_mesh_mappings.py
chebi:24536	hexachlorocyclohexane	skos:exactMatch	Not	mesh:D002819	Chorea	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	generate_chebi_mesh_mappings.py
chebi:27777	acetohydroxamic acid	skos:exactMatch	Not	mesh:D000744	Anemia, Hemolytic, Autoimmune	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	generate_chebi_mesh_mappings.py
