source prefix	source identifier	source name	relation	target prefix	target identifier	target name	type	source
mondo	MONDO:0008527	tarsal coalition	skos:exactMatch	mesh	D000070604	Tarsal Coalition	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0008597	trichorhinophalangeal syndrome, type III	skos:exactMatch	mesh	C566033	Trichorhinophalangeal Syndrome, Type III	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0008612	tuberous sclerosis 1	skos:exactMatch	mesh	C565346	Tuberous Sclerosis 1	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0008734	adrenocortical carcinoma, hereditary	skos:exactMatch	mesh	C565972	Adrenocortical Carcinoma, Hereditary	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0008738	aganglionosis, total intestinal	skos:exactMatch	mesh	C538058	Aganglionosis, total intestinal	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0009003	achromatopsia 2	skos:exactMatch	mesh	C536128	Achromatopsia 2	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0009130	Dyggve-Melchior-Clausen disease	skos:exactMatch	mesh	C535726	Dyggve-Melchior-Clausen syndrome	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0009175	eosinophilic fasciitis	skos:exactMatch	mesh	C562487	Eosinophilic Fasciitis	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0009202	Thakker-Donnai syndrome	skos:exactMatch	mesh	C536503	Thakker Donnai syndrome	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0009220	visceral steatosis, congenital	skos:exactMatch	mesh	C536351	Visceral Steatosis, Congenital	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0009263	gapo syndrome	skos:exactMatch	mesh	C535642	Growth retardation, Alopecia, Pseudoanodontia and Optic atrophy	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0009488	keratoconus posticus circumscriptus	skos:exactMatch	mesh	C536151	Keratoconus posticus circumscriptus	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0009503	pyruvate dehydrogenase E3-binding protein deficiency	skos:exactMatch	mesh	C565447	Pyruvate Dehydrogenase E3-Binding Protein Deficiency	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0009526	fibular aplasia, tibial campomelia, and oligosyndactyly syndrome	skos:exactMatch	mesh	C565436	Fibular Aplasia, Tibial Campomelia, and Oligosyndactyly Syndrome	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0009573	megaepiphyseal dwarfism	skos:exactMatch	mesh	C536140	Megaepiphyseal dwarfism	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0009612	methylmalonic aciduria due to methylmalonyl-CoA mutase deficiency	skos:exactMatch	mesh	C565390	Methylmalonic Aciduria due to Methylmalonyl-CoA Mutase Deficiency	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0009630	microphthalmia, isolated, with coloboma 4	skos:exactMatch	mesh	C565378	Microphthalmia, Isolated, with Coloboma 4	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0009649	moyamoya disease 1	skos:exactMatch	mesh	C536991	Moyamoya disease 1	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0009703	myopathy with abnormal lipid metabolism	skos:exactMatch	mesh	C562935	Myopathy with Abnormal Lipid Metabolism	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0009766	oculocerebral hypopigmentation syndrome of Preus	skos:exactMatch	mesh	C537866	Oculocerebral hypopigmentation syndrome type Preus	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0009853	Imerslund-Grasbeck syndrome	skos:exactMatch	mesh	C538556	Imerslund-Grasbeck syndrome	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0009878	pituitary hormone deficiency, combined, 2	skos:exactMatch	mesh	C563172	Pituitary Hormone Deficiency, Combined, 2	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0010056	spinal muscular atrophy, type IV	skos:exactMatch	mesh	C563948	Spinal Muscular Atrophy, Type IV	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0010103	teeth, fused	skos:exactMatch	mesh	D005671	Fused Teeth	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0010131	thyroid hormone resistance, generalized, autosomal recessive	skos:exactMatch	mesh	C567936	Thyroid Hormone Resistance, Generalized, Autosomal Recessive	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0010186	vitamin D-dependent rickets, type 2A	skos:exactMatch	mesh	C562794	Vitamin D-Dependent Rickets, Type 2A	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0010201	Winchester syndrome	skos:exactMatch	mesh	C536709	Winchester syndrome	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0010261	microphthalmia, syndromic 2	skos:exactMatch	mesh	C537465	Microphthalmia, syndromic 2	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0010391	angioma serpiginosum, X-linked	skos:exactMatch	mesh	C536366	Angioma serpiginosum, X-linked	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0010535	Bazex-Dupre-Christol syndrome	skos:exactMatch	mesh	C537663	Bazex-Dupre-Christol syndrome	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0010623	ichthyosis and male hypogonadism	skos:exactMatch	mesh	C537365	Ichthyosis and male hypogonadism	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0010644	proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	skos:exactMatch	mesh	C545036	Low Molecular Weight Proteinuria with Hypercalciuria and Nephrocalcinosis	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0010693	nystagmus 1, congenital, X-linked	skos:exactMatch	mesh	C537853	Nystagmus 1, congenital, X- linked	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0010717	pyruvate dehydrogenase E1-alpha deficiency	skos:exactMatch	mesh	C564071	Pyruvate Dehydrogenase E1 Alpha Deficiency	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0010743	thrombocytopenia 1	skos:exactMatch	mesh	C564052	Thrombocytopenia 1	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0010760	XH antigen	skos:exactMatch	mesh	C009691	Xh antigen	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0011042	Martinez-Frias syndrome	skos:exactMatch	mesh	C563346	Martinez-Frias Syndrome	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0011120	neural tube defects, folate-sensitive	skos:exactMatch	mesh	C536409	Neural tube defect, folate-sensitive	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0011544	paragangliomas 3	skos:exactMatch	mesh	C565335	Paragangliomas 3	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0011713	melanoma-pancreatic cancer syndrome	skos:exactMatch	mesh	C563985	Melanoma-Pancreatic Cancer Syndrome	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0011826	glucocorticoid deficiency 2	skos:exactMatch	mesh	C564577	Glucocorticoid Deficiency 2	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0011885	tubulointerstitial nephritis and uveitis syndrome	skos:exactMatch	mesh	C536922	Tubulointerstitial nephritis and uveitis	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0011918	anxiety	skos:exactMatch	mesh	D001007	Anxiety	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0012164	Meacham syndrome	skos:exactMatch	mesh	C538162	Meacham Winn Culler syndrome	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0012214	glucocorticoid deficiency 3	skos:exactMatch	mesh	C563776	Glucocorticoid Deficiency 3	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0012217	Bruck syndrome 2	skos:exactMatch	mesh	C537407	Bruck syndrome 2	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0012252	rhabdoid tumor predisposition syndrome 1	skos:exactMatch	mesh	C563738	Rhabdoid Tumor Predisposition Syndrome 1	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0012270	Tukel syndrome	skos:exactMatch	mesh	C536925	Tukel syndrome	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0012287	Stickler syndrome, type I, nonsyndromic ocular	skos:exactMatch	mesh	C563709	Stickler Syndrome, Type I, Nonsyndromic Ocular	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0012310	fibrosis of extraocular muscles, congenital, with synergistic divergence	skos:exactMatch	mesh	C566508	Fibrosis of Extraocular Muscles, Congenital, with Synergistic Divergence	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0012400	cortical dysplasia-focal epilepsy syndrome	skos:exactMatch	mesh	C567657	Cortical Dysplasia-Focal Epilepsy Syndrome	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0012408	microphthalmia, isolated, with coloboma 3	skos:exactMatch	mesh	C566447	Microphthalmia, Isolated, with Coloboma 3	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0012425	corneal dystrophy, fuchs endothelial, 2	skos:exactMatch	mesh	C535479	Corneal dystrophy, Fuchs' endothelial, 2	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0012484	prosopagnosia, hereditary	skos:exactMatch	mesh	C537242	Prosopagnosia, hereditary	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0012522	diabetes mellitus, transient neonatal, 3	skos:exactMatch	mesh	C566432	Diabetes Mellitus, Transient Neonatal, 3	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0013129	cone dystrophy 4	skos:exactMatch	mesh	C567758	Cone Dystrophy 4	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0013199	tuberous sclerosis 2	skos:exactMatch	mesh	C566021	Tuberous Sclerosis 2	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0013203	corneal dystrophy, Fuchs endothelial, 3	skos:exactMatch	mesh	C567678	Corneal Dystrophy, Fuchs Endothelial, 3	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0013204	corneal dystrophy, Fuchs endothelial, 4	skos:exactMatch	mesh	C567677	Corneal Dystrophy, Fuchs Endothelial, 4	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0013205	corneal dystrophy, fuchs endothelial, 5	skos:exactMatch	mesh	C567676	Corneal Dystrophy, Fuchs Endothelial, 5	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0013206	corneal dystrophy, Fuchs endothelial, 6	skos:exactMatch	mesh	C567675	Corneal Dystrophy, Fuchs Endothelial, 6	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0013207	corneal dystrophy, fuchs endothelial, 7	skos:exactMatch	mesh	C567674	Corneal Dystrophy, Fuchs Endothelial, 7	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0015240	digitotalar dysmorphism	skos:exactMatch	mesh	C565097	Digitotalar Dysmorphism	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0015281	atrial standstill	skos:exactMatch	mesh	C563984	Atrial Standstill	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0015451	univentricular heart	skos:exactMatch	mesh	D000080039	Univentricular Heart	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0015467	craniosynostosis, Philadelphia type	skos:exactMatch	mesh	C563368	Craniosynostosis, Philadelphia Type	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0015564	Castleman disease	skos:exactMatch	mesh	D005871	Castleman Disease	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0015993	cone-rod dystrophy	skos:exactMatch	mesh	D000071700	Cone-Rod Dystrophies	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0015995	melorheostosis with osteopoikilosis	skos:exactMatch	mesh	C563593	Melorheostosis with Osteopoikilosis	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0016101	neurolymphomatosis	skos:exactMatch	mesh	D000077162	Neurolymphomatosis	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0016217	mal de Debarquement	skos:exactMatch	mesh	C537840	Mal de debarquement	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0016295	neuronal ceroid lipofuscinosis	skos:exactMatch	mesh	D009472	Neuronal Ceroid-Lipofuscinoses	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0016301	congenitally corrected transposition of the great arteries	skos:exactMatch	mesh	D000080041	Congenitally Corrected Transposition of the Great Arteries	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0016366	maternal phenylketonuria	skos:exactMatch	mesh	D017042	Phenylketonuria, Maternal	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0016567	locked-in syndrome	skos:exactMatch	mesh	D000080422	Locked-In Syndrome	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0016607	odontohypophosphatasia	skos:exactMatch	mesh	C564146	Odontohypophosphatasia	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0016798	ataxia neuropathy spectrum	skos:exactMatch	mesh	C579922	Ataxia Neuropathy Spectrum	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0016809	spinocerebellar ataxia with epilepsy	skos:exactMatch	mesh	C564395	Spinocerebellar Ataxia with Epilepsy	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0017161	frontotemporal dementia with motor neuron disease	skos:exactMatch	mesh	C566288	Frontotemporal Dementia With Motor Neuron Disease	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0017169	multiple endocrine neoplasia	skos:exactMatch	mesh	D009377	Multiple Endocrine Neoplasia	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0017198	osteopetrosis	skos:exactMatch	mesh	D010022	Osteopetrosis	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0017267	self-healing collodion baby	skos:exactMatch	mesh	C565473	Self-Healing Collodion Baby	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0017349	myopericytoma	skos:exactMatch	mesh	D000077777	Myopericytoma	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0017715	3-hydroxyacyl-CoA dehydrogenase deficiency	skos:exactMatch	mesh	C535310	3-Hydroxyacyl-CoA Dehydrogenase Deficiency	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0017999	fatty acid hydroxylase-associated neurodegeneration	skos:exactMatch	mesh	C580102	Fatty Acid Hydroxylase-Associated Neurodegeneration	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0018072	persistent truncus arteriosus	skos:exactMatch	mesh	D014339	Truncus Arteriosus, Persistent	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0018082	aorto-ventricular tunnel	skos:exactMatch	mesh	D000082903	Aortico-Ventricular Tunnel	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0018135	oculocutaneous albinism type 1	skos:exactMatch	mesh	C537728	Oculocutaneous albinism type 1	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0018154	Madelung deformity	skos:exactMatch	mesh	C562398	Madelung Deformity	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0018226	infantile epileptic-dyskinetic encephalopathy	skos:exactMatch	mesh	C567924	Infantile Epileptic-Dyskinetic Encephalopathy	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0018338	activated PI3K-delta syndrome	skos:exactMatch	mesh	C585640	Activated PI3K-delta Syndrome	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0018363	focal facial dermal dysplasia	skos:exactMatch	mesh	C537068	Focal facial dermal dysplasia	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0018668	scedosporiosis	skos:exactMatch	mesh	C000656924	scedosporiosis	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0018781	KID syndrome	skos:exactMatch	mesh	C536168	Keratitis, Ichthyosis, and Deafness (KID) Syndrome	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0018815	aneurysmal bone cyst	skos:exactMatch	mesh	D017824	Bone Cysts, Aneurysmal	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0018830	Kimura disease	skos:exactMatch	mesh	D000082242	Kimura Disease	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0018869	cobblestone lissencephaly	skos:exactMatch	mesh	D054222	Cobblestone Lissencephaly	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0018878	branchiootic syndrome	skos:exactMatch	mesh	C537104	Branchiootic syndrome	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0018949	distal myopathy	skos:exactMatch	mesh	D049310	Distal Myopathies	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0019107	Rh deficiency syndrome	skos:exactMatch	mesh	C562717	Rh Deficiency Syndrome	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0019155	Leydig cell hypoplasia	skos:exactMatch	mesh	C562567	Leydig Cell Hypoplasia	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0019169	pyruvate dehydrogenase deficiency	skos:exactMatch	mesh	D015325	Pyruvate Dehydrogenase Complex Deficiency Disease	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0019353	Stargardt disease	skos:exactMatch	mesh	D000080362	Stargardt Disease	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0019669	hypochondrogenesis	skos:exactMatch	mesh	C563007	Hypochondrogenesis	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0019760	terminal transverse defects of arm	skos:exactMatch	mesh	C565681	Terminal Transverse Defects of Arm	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0019804	tracheomalacia	skos:exactMatch	mesh	D055090	Tracheomalacia	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0019978	Robinow syndrome	skos:exactMatch	mesh	C562492	Robinow Syndrome	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0020110	pulmonary agenesis	skos:exactMatch	mesh	C562992	Lung agenesis	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0020540	ovarian gynandroblastoma	skos:exactMatch	mesh	C538459	Ovarian gynandroblastoma	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0020756	migraine, familial hemiplegic, 1	skos:exactMatch	mesh	C536890	Hemiplegic migraine, familial type 1	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0020792	dwarfism with tall vertebrae	skos:exactMatch	mesh	C535725	Dwarfism tall vertebrae	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0020806	sinoatrial block	skos:exactMatch	mesh	D012848	Sinoatrial Block	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0021065	pleural neoplasm	skos:exactMatch	mesh	D010997	Pleural Neoplasms	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0021092	fallopian tube neoplasm	skos:exactMatch	mesh	D005185	Fallopian Tube Neoplasms	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0021106	laminopathy	skos:exactMatch	mesh	D000083083	Laminopathies	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0021224	iris neoplasm	skos:exactMatch	mesh	D015811	Iris Neoplasms	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0021234	spinal cord neoplasm	skos:exactMatch	mesh	D013120	Spinal Cord Neoplasms	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0021253	gallbladder neoplasm	skos:exactMatch	mesh	D005706	Gallbladder Neoplasms	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0021662	bile duct neoplasm	skos:exactMatch	mesh	D001650	Bile Duct Neoplasms	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0022140	Charles bonnet syndrome	skos:exactMatch	mesh	D000075562	Charles Bonnet Syndrome	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0022208	crystal arthropathy	skos:exactMatch	mesh	D000070657	Crystal Arthropathies	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0023203	Fuchs atrophia gyrata chorioideae et retinae	skos:exactMatch	mesh	C538071	Fuchs atrophia gyrata chorioideae et retinae	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0023305	heavy metal poisoning	skos:exactMatch	mesh	D000075322	Heavy Metal Poisoning	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0024264	hypothyroidism, congenital, nongoitrous, 2	skos:exactMatch	mesh	C566852	Hypothyroidism, Congenital, Nongoitrous, 2	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0024288	hyperbilirubinemia	skos:exactMatch	mesh	D006932	Hyperbilirubinemia	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0024332	perennial allergic rhinitis	skos:exactMatch	mesh	D012221	Rhinitis, Allergic, Perennial	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0024361	circadian rhythm sleep disorder	skos:exactMatch	mesh	D020178	Sleep Disorders, Circadian Rhythm	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0024465	surfactant metabolism dysfunction, pulmonary, 2	skos:exactMatch	mesh	C567048	Surfactant Metabolism Dysfunction, Pulmonary, 2	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0024543	brittle cornea syndrome 1	skos:exactMatch	mesh	C536192	Brittle cornea syndrome 1	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0024559	aortic aneurysm, familial thoracic 1	skos:exactMatch	mesh	C562834	Aortic Aneurysm, Familial Thoracic 1	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0024647	urolithiasis	skos:exactMatch	mesh	D052878	Urolithiasis	manually_reviewed	orcid:0000-0001-9439-5346
